filename,method,time,z
didactic.dat,GRASP,0.000613,30
didactic.dat,AG,0.021317602,30
didactic.dat,ACO,0.002650701,30
pb_1000rnd0100.dat,GRASP,4.249001679,56
pb_1000rnd0100.dat,AG,199.73332126,49
pb_1000rnd0100.dat,ACO,0.926916705,67
pb_1000rnd0300.dat,GRASP,16.676722284,572
pb_1000rnd0300.dat,AG,1126.66878347,544
pb_1000rnd0300.dat,ACO,5.456035016,609
pb_100rnd0100.dat,GRASP,0.125409714,364
pb_100rnd0100.dat,AG,2.635762398,351
pb_100rnd0100.dat,ACO,0.254755729,372
pb_100rnd0300.dat,GRASP,0.104792612,203
pb_100rnd0300.dat,AG,2.312705762,194
pb_100rnd0300.dat,ACO,0.185783721,203
pb_2000rnd0100.dat,GRASP,26.534030496,40
pb_2000rnd0100.dat,AG,930.887153091,40
pb_2000rnd0100.dat,ACO,2.861931523,38
pb_200rnd0100.dat,GRASP,0.44080155,390
pb_200rnd0100.dat,AG,12.431719403,377
pb_200rnd0100.dat,ACO,0.584366165,403
pb_200rnd0300.dat,GRASP,0.8873944,702
pb_200rnd0300.dat,AG,19.315798681,687
pb_200rnd0300.dat,ACO,1.352566853,716
pb_500rnd0100.dat,GRASP,2.112040838,292
pb_500rnd0100.dat,AG,97.311874952,301
pb_500rnd0100.dat,ACO,1.370773455,318
pb_500rnd0300.dat,GRASP,4.495789607,688
pb_500rnd0300.dat,AG,193.874791241,694
pb_500rnd0300.dat,ACO,3.063380796,728
pb_500rnd1500.dat,GRASP,5.011426682,1088
pb_500rnd1500.dat,AG,173.74131529,1116
pb_500rnd1500.dat,ACO,3.157085957,1159
